,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,user_session,user_response,user_id,database_id
69,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00386,0.155,0.779,106.68,2,0,0,5bb7ac900c27ee4c381dd8b0
70,0.536,0.844,6,-6.918,0,0.058,0.0628,0.00084,0.0608,0.185,117.652,2,1,0,5bb7ac940c27ee4c381dda11
71,0.788,0.733,11,-8.433,0,0.0519,0.000754,0.882,0.0626,0.8,134.023,2,0,0,5bb7ac8f0c27ee4c381dd870
72,0.156,0.145,10,-19.168,1,0.0404,0.801,0.893,0.209,0.0326,84.077,2,0,0,5bb7ac9a0c27ee4c381ddbcd
73,0.68,0.843,1,-4.919,1,0.241,0.22,3.02e-05,0.378,0.743,81.958,2,0,0,5bb7ac910c27ee4c381dd90e
74,0.114,0.057,9,-25.618,1,0.0514,0.984,0.471,0.124,0.0387,83.786,2,0,0,5bb7ac8c0c27ee4c381dd77a
75,0.75,0.872,8,-6.252,0,0.0624,0.0032,0.00381,0.0662,0.517,117.998,2,0,0,5bb7ac920c27ee4c381dd984
76,0.361,0.601,3,-7.3,1,0.0304,0.141,0.00104,0.178,0.205,145.85,2,0,0,5bb7ac940c27ee4c381dd9ee
77,0.296,0.0308,5,-17.262,1,0.0316,0.928,0.00947,0.0795,0.324,81.14,2,0,0,5bb7ac9a0c27ee4c381ddbbc
78,0.601,0.39,10,-11.262,0,0.0307,0.49,0.0,0.15,0.195,136.204,2,0,0,5bb7ac8b0c27ee4c381dd74e
79,0.463,0.736,4,-4.341,1,0.0329,0.024,0.0,0.293,0.374,131.594,2,0,0,5bb7ac9a0c27ee4c381ddbd0
80,0.164,0.931,2,-5.512,1,0.113,1.06e-06,0.754,0.31,0.0948,145.132,2,0,0,5bb7ac8a0c27ee4c381dd6ed
81,0.626,0.249,11,-15.41,1,0.0279,0.752,0.000313,0.181,0.322,83.022,2,0,0,5bb7ac8b0c27ee4c381dd748
82,0.384,0.178,5,-20.202,1,0.0421,0.731,1.05e-05,0.276,0.536,127.768,2,0,0,5bb7ac8f0c27ee4c381dd857
83,0.349,0.78,7,-5.87,1,0.0375,0.0857,0.000521,0.259,0.467,159.857,2,0,0,5bb7ac970c27ee4c381ddacf
84,0.437,0.84,9,-4.705,1,0.0632,0.00983,0.0,0.121,0.349,120.812,2,0,0,5bb7ac930c27ee4c381dd9a9
85,0.753,0.102,7,-14.276,0,0.0328,0.936,0.0,0.0978,0.531,112.045,1,0,1,5bb7ac930c27ee4c381dd9d0
86,0.267,0.0154,1,-22.922,1,0.0445,0.98,0.636,0.0662,0.108,141.012,1,1,1,5bb7ac8a0c27ee4c381dd6d4
87,0.155,0.0958,5,-18.049,1,0.0393,0.876,0.896,0.389,0.0372,139.609,1,1,1,5bb7ac8c0c27ee4c381dd76f
88,0.522,0.0471,5,-14.708,1,0.0381,0.864,0.00158,0.124,0.224,143.262,1,1,1,5bb7ac990c27ee4c381ddb9d
89,0.629,0.563,1,-14.372,1,0.0377,0.0387,0.84,0.107,0.641,140.004,1,1,1,5bb7ac960c27ee4c381ddabc
90,0.547,0.527,7,-10.091,1,0.0527,0.567,5.92e-06,0.303,0.515,143.869,1,1,1,5bb7ac940c27ee4c381dda00
