database_id,spotify_id,song_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5bb7ac890c27ee4c381dd6ba,6L0BBPYeWnaQJeDa0ox0IA,Impossible Germany,https://p.scdn.co/mp3-preview/5e3ec21d9833520061aa2aba59f8310fe4bc39f8?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.553,0.727,4,-6.395,0,0.0254,0.584,0.138,0.113,0.507,104.95
5bb7ac890c27ee4c381dd6bb,2dO66EZj2q67wzTm7UoznP,Waiting,https://p.scdn.co/mp3-preview/fbb1735275d009f6e2fadfb3207aaac780d950bb?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.658,0.881,6,-5.99,1,0.036,0.0304,1.53E-06,0.12,0.834,122.313
5bb7ac890c27ee4c381dd6bc,3ouSVtiLh40meIrgv4ql9T,Discretion Grove,https://p.scdn.co/mp3-preview/0ef4b0d188261ef47c14606c2bae7aeca111305a?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.578,0.441,9,-9.556,1,0.0361,0.0079,0.836,0.243,0.257,120.67
5bb7ac890c27ee4c381dd6bd,3fsnRK4dEe7NykXL5anAGp,Mutilated Lips,https://p.scdn.co/mp3-preview/7a661fb7b07c730837d95a38a0ecb97713f7070d?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.565,0.657,8,-8.526,1,0.0273,0.0587,0.000151,0.331,0.361,136.05
5bb7ac890c27ee4c381dd6be,2LUGAmTUIgFyHPVWmFRzvw,Algiers,https://p.scdn.co/mp3-preview/3ac1ac5997e2b4f950dd644a4af93862957c6303?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.615,0.799,9,-6.892,0,0.0305,0.0341,0.192,0.111,0.697,114.984
5bb7ac890c27ee4c381dd6bf,1szDksEZ8FUIESuhvoi2yN,Plateau,https://p.scdn.co/mp3-preview/127f3331cd700189ae46ebe10e871f9a6694036a?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.481,0.469,11,-11.484,1,0.0625,0.243,0.00138,0.101,0.65,170.219
5bb7ac890c27ee4c381dd6c0,3lVYIS5tOCTHNGbS7gYusY,Devil Town,https://p.scdn.co/mp3-preview/3a626a0ec791fc15ec59c6007b4a83a114876463?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.466,0.0846,10,-12.658,0,0.352,0.961,0,0.137,0.305,173.385
5bb7ac890c27ee4c381dd6c1,698gaSKWFh8iSD60U2DtNT,Lady Your Roof Brings Me Down,https://p.scdn.co/mp3-preview/3fc93600b579198a267f9fb899e3200ce7ad3b13?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.422,0.505,2,-4.198,1,0.0345,0.17,2.25E-05,0.119,0.181,138.251
5bb7ac890c27ee4c381dd6c2,5ciVbeefBaNOmaDXsN0amO,Everything Is Wrong,https://p.scdn.co/mp3-preview/928b00897ebb2267253b9b20a38b163972731da7?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.473,0.848,6,-4.745,0,0.0371,4.42E-05,0.915,0.645,0.432,125.99
5bb7ac890c27ee4c381dd6c3,1FRcbev7H7EPZ7BHf0GTEc,Let the Day Begin,https://p.scdn.co/mp3-preview/14887d23fe81fece19e7d49f3b24b38c7036dcec?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.476,0.781,1,-8.01,1,0.0516,0.000181,0.581,0.108,0.637,123.015
5bb7ac890c27ee4c381dd6c4,1t2Hq2WIBcZINOEnK6mdJG,Save Tonight,https://p.scdn.co/mp3-preview/9659b96f80262985ff8663c46697b4c3d646daba?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.547,0.693,0,-8.786,1,0.0353,9.24E-05,5.46E-05,0.113,0.583,119.567
5bb7ac890c27ee4c381dd6c5,57Xjny5yNzAcsxnusKmAfA,Reptilia,https://p.scdn.co/mp3-preview/8894d33d94ef1135ce87e0ac8058a6425e91e4c9?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.486,0.666,9,-5.084,1,0.033,0.000563,0.789,0.101,0.741,157.992
5bb7ac890c27ee4c381dd6c6,0UrWr7Jnu1heq1o99ZwUd0,Youth Of The Nation,https://p.scdn.co/mp3-preview/e539c574dfe89ea3cdd6aaa4aa93d89595e6e379?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867
5bb7ac890c27ee4c381dd6c7,6FOpPA0a80RuBqqgDozvja,So Far Away,https://p.scdn.co/mp3-preview/bc11422e9afd214a4d8834b96a17ff6981807f8a?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.407,0.896,6,-2.935,1,0.063,0.012,0,0.196,0.156,138.697
5bb7ac890c27ee4c381dd6c8,1RwwmiVtLAtPmxAqKVfwgG,I Wanna Get Better,https://p.scdn.co/mp3-preview/b8a0a0e4d97ae2c5aa73761516751680079458c0?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.456,0.891,9,-7.004,1,0.106,0.00266,7.99E-06,0.281,0.385,190.024
5bb7ac890c27ee4c381dd6c9,5rTIpPWeO0IL4HWlGWrz5G,Brianstorm,https://p.scdn.co/mp3-preview/e317a7d7c8ee0efe58a857cc5af69e0c78b874ca?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.421,0.98,1,-4.229,1,0.212,8.39E-05,0.00125,0.237,0.435,165.193
5bb7ac890c27ee4c381dd6ca,4pGqFOfzvfe6avb9kbZicC,Sweater Weather,https://p.scdn.co/mp3-preview/ff64df97746e9b97673169f97e0eb5045c552278?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.695,0.615,7,-5.325,0,0.042,0.15,0.000212,0.0879,0.414,124.015
